name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,3,0.00544,0.702,0.741,0.0,0.337,-5.33,0.0427,124.925,0.646,4,9,1,spotify:track:0LThjFY2iTtNdd4wviwVV2,2021
Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,3,0.00323,0.759,0.459,0.0,0.0906,-5.187,0.0948,109.997,0.695,4,8,1,spotify:track:2bgTY4UwhfBYhGT4HUYStN,2021
moonchild,mono.,RM,2018-10-22,205833,0,0.0254,0.504,0.869,0.0,0.0659,-5.576,0.213,157.992,0.19,4,9,0,spotify:track:5Zlo5ZYjrr6DwQw1kBi5bA,2018
Film out,Film out,BTS,2021-04-01,214620,67,0.296,0.499,0.709,0.0,0.331,-6.404,0.134,164.032,0.314,4,10,1,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,2021
Serendipity (Full Length Edition),Love Yourself 結 'Answer',BTS,2018-08-24,276707,0,0.445,0.347,0.578,0.0,0.231,-7.525,0.0626,86.73,0.226,5,8,1,spotify:track:5cQB9fbuQCz4muQUFkv3rR,2018
Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G),j-hope,2019-09-27,235497,0,0.00502,0.826,0.817,1.09e-05,0.294,-4.081,0.0921,97.053,0.168,4,2,1,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,2019
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,12,0.495,0.462,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,0.149,4,3,1,spotify:track:39EXZNMxb4RBHlRjnRaOKp,2020
eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,73,0.115,0.676,0.869,0.0,0.132,-1.573,0.0423,120.029,0.594,4,1,1,spotify:track:0pYacDCZuRhcrwGUA5nTBe,2020
Euphoria,Love Yourself 結 'Answer',BTS,2018-08-24,228615,1,0.394,0.637,0.799,0.0,0.0921,-4.519,0.0338,104.995,0.562,4,2,1,spotify:track:3p6hnejEQYXkiTO1lAzVc0,2018
seoul (prod. HONNE),mono.,RM,2018-10-22,275954,0,0.344,0.587,0.664,2.47e-05,0.324,-8.63,0.0645,99.8,0.453,4,0,1,spotify:track:73ipE4lfZ53pvBbJPXkiEK,2018
HWAA,I burn,(G)I-DLE,2021-01-11,197320,67,0.0458,0.384,0.868,5.82e-06,0.0797,-3.226,0.0711,95.027,0.233,4,6,0,spotify:track:5FiXhM80sP4yg6tEnHkZZn,2021
LMLY,LMLY,Jackson Wang,2021-03-26,209998,65,0.0523,0.727,0.736,0.0,0.119,-6.566,0.0319,139.929,0.717,4,8,1,spotify:track:3Jbpo2slhW2bbVneiJnC9G,2021
Love Maze,Love Yourself 轉 'Tear',BTS,2018-05-18,221529,0,0.0487,0.636,0.876,0.0,0.0728,-4.652,0.0617,149.932,0.759,4,9,1,spotify:track:645YBsxhFPSOKxGep3uHLv,2018
0X1=LOVESONG (I Know I Love You) feat. Seori,The Chaos Chapter: FREEZE,TOMORROW X TOGETHER,2021-05-31,202203,74,0.0558,0.584,0.836,0.0,0.0663,-4.925,0.079,104.973,0.484,4,0,1,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,2021
People,D-2,Agust D,2020-05-22,197000,0,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,2020
Daydream (백일몽),Hope World,j-hope,2018-03-02,228759,0,0.00512,0.748,0.961,0.0,0.175,-6.518,0.0875,116.037,0.856,4,8,0,spotify:track:4YAgH8s0JFfwikTNwe0aIk,2018
Your eyes tell,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,2020-07-14,245146,65,0.279,0.449,0.491,0.0,0.0654,-6.433,0.029,139.923,0.258,4,9,0,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,2020
LOST,I burn,(G)I-DLE,2021-01-11,181253,50,0.309,0.743,0.791,2.55e-06,0.119,-3.391,0.0359,123.004,0.637,4,8,0,spotify:track:2hONcl7rn6TCopbykEoyXH,2021
It's You,당신이 잠든 사이에 Pt. 2 Original Television Soundtrack,HENRY,2017-10-04,231642,6,0.637,0.545,0.468,0.0,0.128,-6.064,0.0247,76.045,0.279,4,7,1,spotify:track:3hm4axDodp2jFEDohQfXxV,2017
Strange,D-2,Agust D,2020-05-22,196529,0,0.00236,0.627,0.662,0.0,0.157,-8.121,0.203,90.008,0.207,4,7,1,spotify:track:4KjASaPtCvRJ4YArYpz6je,2020
