name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
SEXY NUKIM (feat. RM of BTS),SEXY NUKIM (feat. RM of BTS),Balming Tiger,2022-09-01,229937,64,0.00219,0.747,0.71,0.214,0.371,-5.729,0.116,93.995,0.426,4,1,1,spotify:track:1XkMxUilV0E3ChDERZJUEq,2022
Mishri,Mishri,Anuv Jain,2020-11-27,200437,44,0.917,0.534,0.159,0.0,0.109,-14.304,0.0288,80.047,0.184,4,7,1,spotify:track:1xtkLqZcGPQZP9549WlmfH,2020
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,2022-08-05,172714,74,0.0185,0.762,0.861,0.0,0.264,-3.296,0.0955,120.048,0.955,4,0,1,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,2022
Yours,Jirisan (Original Television Soundtrack) Pt. 4,JIN,2021-11-07,264840,72,0.354,0.488,0.427,0.0,0.0797,-7.383,0.0382,72.035,0.157,4,6,1,spotify:track:66sBTYlkaiyBwf4fhbIHlZ,2021
moonchild,mono.,RM,2018-10-23,205833,65,0.0258,0.503,0.869,0.0,0.0659,-5.576,0.214,157.975,0.191,4,9,0,spotify:track:6BnciRM9jyEP9cEjvoN5eI,2018
Love Letter,Something New,Anthony Lazaro,2021-12-03,205956,47,0.839,0.639,0.295,3.28e-06,0.108,-14.605,0.0387,114.875,0.406,3,6,0,spotify:track:18hPvq4l7aiolR6NenxBz6,2021
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,68,0.179,0.707,0.791,0.0,0.102,-4.483,0.035,106.985,0.674,4,5,0,spotify:track:0mZI1NpihIVcho2f9MmqSW,2018
= (Equal Sign),Jack In The Box,j-hope,2022-07-15,114477,69,0.0155,0.673,0.75,5.44e-06,0.348,-5.831,0.0655,105.848,0.708,4,9,1,spotify:track:70XnKsO3UnIT4FnEwChQXx,2022
seoul (prod. HONNE),mono.,RM,2018-10-23,275954,67,0.344,0.581,0.664,2.48e-05,0.324,-8.63,0.0649,99.829,0.452,4,0,1,spotify:track:1sKsYTGy8XfHjCYqcudqG5,2018
Heather,Kid Krow,Conan Gray,2020-03-20,198040,90,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078,0.27,3,5,1,spotify:track:4xqrdfXkTW4T0RauPLv3WA,2020
Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,71,0.00323,0.759,0.459,0.0,0.0906,-5.187,0.0948,109.997,0.695,4,8,1,spotify:track:1mWdTewIgB3gtBM3TOSFhB,2021
Gul,Gul,Anuv Jain,2021-07-16,217241,50,0.871,0.6,0.294,8.66e-05,0.102,-12.301,0.0292,86.97,0.342,4,6,1,spotify:track:0NLkVxf0PyxsXBG3EuZcJf,2021
tokyo,mono.,RM,2018-10-23,208936,63,0.828,0.445,0.263,0.00516,0.118,-13.754,0.0342,147.172,0.0712,4,5,0,spotify:track:2YCTRzLwXgiNvbod8xuCHl,2018
Pandora's Box,Jack In The Box,j-hope,2022-07-15,156291,63,0.198,0.785,0.807,0.0,0.326,-3.877,0.178,96.981,0.228,4,0,1,spotify:track:2On611HXKQAbaYkuc4NQAm,2022
Girl Of My Dreams (with SUGA of BTS),Fighting Demons (Deluxe),Juice WRLD,2022-03-18,226149,69,0.194,0.603,0.771,0.0,0.13,-6.336,0.0627,139.988,0.332,4,9,1,spotify:track:59bY27SZQ4r25o02vqOhgC,2022
Daechwita,D-2,Agust D,2020-05-22,225668,73,0.0229,0.65,0.827,0.0,0.121,-4.014,0.0599,144.995,0.223,4,8,1,spotify:track:0JKGe340YJwfDrpXqPQ8sw,2020
uhgood,mono.,RM,2018-10-23,194384,60,0.00135,0.531,0.56,0.016,0.131,-6.827,0.0566,85.863,0.0942,4,0,1,spotify:track:5u9Pr2CujzeWFZJPALBPqQ,2018
Intro,Jack In The Box,j-hope,2022-07-15,58871,59,0.948,0.607,0.355,0.000281,0.706,-14.867,0.828,125.308,0.964,4,5,1,spotify:track:0M7ai1yfYyb4OlyRgdmtTK,2022
For Youth,Proof,BTS,2022-06-10,264480,70,0.434,0.633,0.511,0.0,0.248,-5.665,0.0368,116.855,0.29,3,2,1,spotify:track:4JzCFEc3O2UEdjKzevvFH5,2022
eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,73,0.115,0.676,0.869,0.0,0.132,-1.573,0.0423,120.029,0.594,4,1,1,spotify:track:0pYacDCZuRhcrwGUA5nTBe,2020
everythingoes (with Nell),mono.,RM,2018-10-23,222493,61,0.143,0.47,0.722,2.91e-06,0.128,-5.819,0.0303,92.034,0.14,4,5,1,spotify:track:0ZUtat3yQpzMRMJ9Qmz5k0,2018
Safety Zone,Jack In The Box,j-hope,2022-07-15,165340,62,0.561,0.676,0.742,0.0,0.155,-5.017,0.162,77.071,0.694,4,8,1,spotify:track:00I41xsW6SunZDJ5fB8KAd,2022
Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,75,0.00631,0.539,0.846,1.71e-06,0.13,-3.192,0.0354,106.994,0.462,4,8,1,spotify:track:2j1fFjWHCI9KJSwcuYAOyF,2017
Aaoge Jab Tum,Jab We Met,Various Artists,2007-09-21,355065,66,0.185,0.645,0.459,0.0,0.132,-9.484,0.0296,119.987,0.379,4,6,1,spotify:track:3fWMFwaJil8fD14JCgwbcL,2007
forever rain,mono.,RM,2018-10-23,271805,62,0.0311,0.389,0.591,6.53e-05,0.392,-8.437,0.0619,138.829,0.255,4,7,1,spotify:track:42DD4cLqkprJPih3YxXkAO,2018
STOP,Jack In The Box,j-hope,2022-07-15,122211,60,0.0897,0.881,0.826,0.366,0.101,-5.111,0.157,99.98,0.796,4,4,1,spotify:track:1XIIvx9S19CZVc7eow7EX7,2022
Born Singer,Proof,BTS,2022-06-10,238628,67,0.0354,0.602,0.841,0.0,0.235,-3.334,0.109,157.937,0.684,4,8,0,spotify:track:1IthE5GNiRzFN5CVaCa445,2022
2step (feat. Armaan Malik),2step (feat. Armaan Malik),Ed Sheeran,2022-05-23,153124,47,0.18,0.747,0.667,0.0,0.146,-5.181,0.0566,95.0,0.508,4,4,0,spotify:track:1vf09n9QoDVWhBImRgQQyG,2022
badbye (with eAeon),mono.,RM,2018-10-23,112606,59,0.0948,0.241,0.536,0.0114,0.296,-8.88,0.0432,142.129,0.23,4,7,1,spotify:track:6CYJojwhuUyTTL5G6AsDHf,2018
What if…,Jack In The Box,j-hope,2022-07-15,136063,60,0.00421,0.694,0.75,0.000553,0.0683,-4.16,0.0338,96.654,0.184,4,0,1,spotify:track:1fNwwml8UcKvhfM6YEVIRh,2022
00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,2020-02-21,250295,70,0.0806,0.56,0.547,0.0,0.11,-6.456,0.0675,157.962,0.199,4,1,1,spotify:track:6fqaMyg066xlukvUJWdM2T,2020
People,D-2,Agust D,2020-05-22,197000,69,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:6HDHaCnH2FCSdEwXrJfEVF,2020
Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,87,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,4,4,1,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,2014
Future,Jack In The Box,j-hope,2022-07-15,139308,63,0.0652,0.717,0.822,0.0,0.36,-5.249,0.0879,102.042,0.764,4,6,1,spotify:track:0Puudh380z6cOCgMaTNm7h,2022
My Universe,My Universe,Coldplay,2021-09-24,228000,81,0.00813,0.588,0.701,0.0,0.2,-6.39,0.0402,104.988,0.443,4,9,1,spotify:track:3FeVmId7tL5YN8B7R3imoM,2021
Kina Chir,The Lifestyle,The PropheC,2016-12-29,216026,71,0.0955,0.622,0.431,0.0,0.088,-8.26,0.0293,117.919,0.365,4,11,0,spotify:track:6XPmY4hIb1RGRyNuq0UBsl,2016
Tumse Mohabbat Hai,Safar,JalRaj,2021-08-12,260000,50,0.596,0.553,0.404,0.000139,0.138,-10.979,0.0281,143.976,0.25,3,5,0,spotify:track:2h930Pc1k4x4yfcUOlIh6A,2021
Music Box : Reflection,Jack In The Box,j-hope,2022-07-15,70546,58,0.0532,0.75,0.708,0.78,0.0974,-8.211,0.0724,87.996,0.116,4,8,1,spotify:track:0PJSXtjkdTjJzZAMyNus02,2022
Life Goes On,BE,BTS,2020-11-20,207481,77,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,4,1,1,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,2020
As It Was,Harry's House,Harry Styles,2022-05-20,167303,94,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,4,6,0,spotify:track:4Dvkj6JhhA12EX05fT7y2e,2022
Baarishein,Baarishein,Anuv Jain,2018-01-12,207309,57,0.926,0.475,0.124,0.0,0.0972,-9.463,0.0444,94.42,0.19,4,2,1,spotify:track:5iCY0TXNImK4hyKfcplQsg,2018
Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223093,80,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,4,1,0,spotify:track:4OAuvHryIVv4kMDNSLuPt6,2021
Euphoria,Love Yourself 結 'Answer',BTS,2018-08-24,228615,78,0.394,0.637,0.799,0.0,0.0921,-4.518,0.0338,104.996,0.57,4,2,1,spotify:track:5YMXGBD6vcYP7IolemyLtK,2018
What do you think?,D-2,Agust D,2020-05-22,182171,61,0.149,0.739,0.725,0.0,0.0793,-5.741,0.084,118.994,0.136,4,1,1,spotify:track:5dnT77AAQJcNYrqAod0jHQ,2020
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,75,0.491,0.459,0.339,6.05e-06,0.0892,-7.961,0.0251,92.097,0.146,4,3,1,spotify:track:3Wno87vVBVbSVS2vUUFuKC,2020
好きだから。,好きだから。,『ユイカ』,2021-06-27,298663,66,0.239,0.607,0.498,4.04e-06,0.313,-6.363,0.0311,164.993,0.714,4,0,1,spotify:track:02xwA3Ej9NPetftp9V7VZ3,2021
Magic Shop,Love Yourself 轉 'Tear',BTS,2018-05-18,275695,71,0.103,0.531,0.661,0.0,0.0779,-5.836,0.0907,149.934,0.278,4,1,1,spotify:track:5MTGPkmiUuud9NkA0sl2nI,2018
Burn It (feat. MAX),D-2,Agust D,2020-05-22,192106,65,0.012,0.658,0.776,2.1e-06,0.272,-7.088,0.0493,114.044,0.336,4,6,0,spotify:track:2hX8rtWyNxYyaBT64H3LYU,2020
Enchanted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,352200,78,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,0.228,4,8,1,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,2010
Alag Aasmaan,Alag Aasmaan,Anuv Jain,2020-07-31,212773,53,0.869,0.699,0.299,0.0,0.0724,-12.599,0.0403,118.969,0.459,4,6,1,spotify:track:74kCarkFBzXYXNkkYJIsG0,2020
Butterfly,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,238861,71,0.0149,0.461,0.776,0.0,0.12,-4.498,0.0565,149.985,0.291,4,6,1,spotify:track:3bjg5cbmuwDoS7e2dAWyRG,2015
Our Island (Prod. SUGA of BTS) (Original Soundtrack),Our Island (Prod. SUGA of BTS) (Original Soundtrack),BTS Island: In the SEOM,2022-07-06,200305,44,0.618,0.442,0.316,0.436,0.361,-11.829,0.0322,120.15,0.0697,4,10,1,spotify:track:2MhfFt4LXh4Vc1e6ChTsR4,2022
You,You,Armaan Malik,2022-01-07,194477,56,0.776,0.463,0.458,5.47e-05,0.544,-6.705,0.0422,110.052,0.593,4,9,1,spotify:track:52INmBPUsLUQ6to3WnGWUm,2022
Interlude : Set me free,D-2,Agust D,2020-05-22,140198,58,0.0755,0.31,0.416,3.34e-05,0.18,-10.429,0.0346,129.925,0.207,4,5,1,spotify:track:0lfJTv87NKrjyr0k7eueUR,2020
Dynamite,BE,BTS,2020-11-20,199053,82,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,0.737,4,6,0,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,2020
Ocean,Ocean,Anuv Jain,2018-04-01,252630,29,0.963,0.72,0.237,0.0,0.0952,-11.665,0.0415,125.335,0.606,4,3,1,spotify:track:4BL4aEbddW0OGv6fFYYFUt,2018
Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G),j-hope,2019-09-27,235497,67,0.00496,0.827,0.817,1.19e-05,0.294,-4.081,0.0953,97.008,0.167,4,2,1,spotify:track:2y6Ty2NPAsP84XJAtzLxuk,2019
so far away (Feat. SURAN),Agust D,Agust D,2016-08-16,358270,64,0.0093,0.482,0.828,0.0,0.325,-4.501,0.104,93.892,0.274,4,11,0,spotify:track:2FviiM1DSKfJSRxMV5TD9w,2016
Make It Right,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,226321,67,0.0104,0.639,0.706,0.0,0.132,-7.874,0.448,105.782,0.259,4,7,1,spotify:track:3LSjYk6sFQaLi0MjtWcm8P,2019
Meri Baaton Mein Tu,Meri Baaton Mein Tu,Anuv Jain,2022-03-04,213986,41,0.426,0.623,0.455,0.0,0.145,-9.793,0.0302,142.878,0.233,4,0,1,spotify:track:5nTbPFqLKmQdIg1SD8KgG4,2022
Blue Side (Outro),Hope World,j-hope,2018-03-02,90539,62,0.0149,0.512,0.394,0.901,0.309,-10.202,0.0263,80.522,0.083,4,9,0,spotify:track:20zr2Oef3PVeGRxjmSF5CC,2018
Dear my friend (feat. Kim Jong Wan of NELL),D-2,Agust D,2020-05-22,292078,62,0.0181,0.561,0.735,8.54e-06,0.0571,-6.344,0.0638,148.025,0.27,4,0,1,spotify:track:6lUjwGIRWdcowZJRZrpqEr,2020
134340,Love Yourself 轉 'Tear',BTS,2018-05-18,230063,66,0.155,0.665,0.687,9.28e-05,0.173,-6.466,0.0547,106.023,0.651,4,11,0,spotify:track:1MX0g22bQkr9HDVe37fLnN,2018
Maula,Maula,Anuv Jain,2020-04-03,237882,34,0.686,0.327,0.325,0.0,0.12,-11.303,0.0297,84.951,0.359,4,7,1,spotify:track:5qyEyqpT0TBVun8W07MEmR,2020
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,87,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,4,0,1,spotify:track:5enxwA8aAbwZbf5qCHORXi,2021
Moonlight,D-2,Agust D,2020-05-22,163015,63,0.273,0.689,0.729,0.0,0.059,-5.801,0.225,97.057,0.773,4,7,1,spotify:track:1NuwEuQH7vbDLA9eg5TvEg,2020
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,78,0.0933,0.645,0.862,0.0,0.193,-4.761,0.0845,119.947,0.803,4,11,0,spotify:track:4a9tbd947vo9K8Vti9JwcI,2019
Alag Aasmaan (Acoustic),Alag Aasmaan (Acoustic),Anuv Jain,2021-11-19,211578,37,0.921,0.625,0.103,1.06e-06,0.107,-13.387,0.0435,115.732,0.668,4,5,1,spotify:track:1gxmaTGnxEgZuV8485tevN,2021
Song Request (feat. SUGA of BTS),Song Request (feat. SUGA of BTS),Lee So Ra,2019-01-22,281066,58,0.707,0.481,0.59,0.00037,0.141,-7.145,0.0903,175.788,0.454,4,2,1,spotify:track:6Au7CCNN2wXgCNxdavgxDM,2019
Buddhu Sa Mann,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Various Artists,2016-03-04,206858,68,0.193,0.644,0.87,0.0,0.549,-4.816,0.0394,125.998,0.702,4,10,1,spotify:track:1dxbiVeiV7nQ2V9qXnhJiB,2016
Interlude : Shadow,MAP OF THE SOUL : 7,BTS,2020-02-21,259821,63,0.115,0.384,0.798,0.0,0.181,-6.439,0.434,149.854,0.146,4,9,0,spotify:track:7om4LRoSct9hiMPo0fPn7m,2020
Kasoor,Kasoor,Prateek Kuhad,2020-06-30,197549,68,0.0285,0.558,0.497,5.36e-06,0.0799,-7.175,0.0256,107.047,0.444,4,8,1,spotify:track:08kTa3SL9sV6Iy8KLKtGql,2020
Strange (feat. RM),D-2,Agust D,2020-05-22,196529,62,0.00236,0.627,0.662,0.0,0.157,-8.121,0.203,90.008,0.207,4,7,1,spotify:track:5sF4GOOSRELn8zn6DDGzUP,2020
항상 (HANGSANG),Hope World,j-hope,2018-03-02,229675,62,0.161,0.832,0.896,4.97e-05,0.247,-4.673,0.233,178.996,0.618,4,6,1,spotify:track:270k38FpoKhnvZLv50NlTr,2018
Moon,MAP OF THE SOUL : 7,BTS,2020-02-21,208589,68,0.0104,0.704,0.646,0.0,0.191,-6.658,0.0596,141.87,0.64,4,6,1,spotify:track:6KhAXXgDtEEahVzATvFNcn,2020
Can't Help Falling in Love,Better,Haley Reinhart,2016-04-29,173174,76,0.947,0.41,0.0485,0.0,0.108,-13.918,0.038,137.97,0.247,4,0,1,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,2016
Honsool,D-2,Agust D,2020-05-22,219808,56,0.00036,0.478,0.574,0.00719,0.157,-8.886,0.0606,71.984,0.187,4,1,1,spotify:track:2cSbuiICLgDR1GIQisS9Zf,2020
Base Line,Hope World,j-hope,2018-03-02,89769,58,0.0376,0.909,0.644,0.0111,0.401,-5.32,0.203,94.982,0.228,4,9,1,spotify:track:3eSCPt6StovDAIps2XhZ2Z,2018
Epiphany,Love Yourself 結 'Answer',BTS,2018-08-24,240361,71,0.288,0.508,0.559,0.0,0.131,-6.366,0.0276,135.866,0.329,4,2,0,spotify:track:6L88EH68XwlaXwvChlTS41,2018
Aankhon Se Batana,Aankhon Se Batana,Dikshant,2022-04-12,221271,73,0.791,0.544,0.307,0.0,0.11,-11.361,0.0334,177.808,0.335,4,10,1,spotify:track:1ZiReD9pPTttQWwSoYqdyH,2022
28 (feat. NiiHWA),D-2,Agust D,2020-05-22,133673,64,0.0897,0.679,0.645,0.0,0.121,-7.107,0.0513,119.934,0.349,4,9,0,spotify:track:3pGNUEIlaUlCU8mXxKInzw,2020
Karma,Midnights,Taylor Swift,2022-10-21,204852,88,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,4,8,1,spotify:track:7KokYm8cMIXCsGVmUvKtqf,2022
Intro : Persona,Proof,BTS,2022-06-10,171023,53,0.0278,0.486,0.871,0.0,0.313,-4.475,0.337,85.411,0.659,4,9,0,spotify:track:1e45vYKAMljTZUQUotLdq2,2022
Hope World,Hope World,j-hope,2018-03-02,204930,63,0.0138,0.706,0.895,0.0,0.595,-4.456,0.16,117.007,0.771,4,1,1,spotify:track:5UMPPsXaGbR1qtzcnEtTpM,2018
give it to me,Agust D,Agust D,2016-08-16,149524,63,0.000833,0.657,0.751,1.05e-05,0.158,-3.889,0.185,94.987,0.43,4,11,1,spotify:track:1m0yEldZVNu9SzmtqfFWRt,2016
