name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,68,0.179,0.707,0.791,0.0,0.102,-4.483,0.035,106.985,0.674,4,5,0,spotify:track:0mZI1NpihIVcho2f9MmqSW,2018
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
everythingoes (with Nell),mono.,RM,2018-10-23,222493,61,0.143,0.47,0.722,2.91e-06,0.128,-5.819,0.0303,92.034,0.14,4,5,1,spotify:track:0ZUtat3yQpzMRMJ9Qmz5k0,2018
Butterfly - Prologue Mix,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,295127,60,0.0446,0.373,0.541,0.001,0.0909,-6.451,0.0526,69.98,0.134,4,1,1,spotify:track:0XwvxY5yMRI7vh55eBRe3B,2016
Dis-ease,BE,BTS,2020-11-20,239722,65,0.0132,0.731,0.845,0.0,0.0782,-5.352,0.132,101.085,0.484,4,8,1,spotify:track:0hxeouHqP3qzpTHerA7ha2,2020
People,D-2,Agust D,2020-05-22,197000,69,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:6HDHaCnH2FCSdEwXrJfEVF,2020
Forg_tful (with Kim Sawol),Indigo,RM,2022-12-02,162295,66,0.674,0.766,0.26,2.47e-06,0.13,-11.19,0.0558,124.838,0.305,4,4,1,spotify:track:1mrS1j5cwaffpXsthTb2Qx,2022
Like Crazy (English Version),FACE,Jimin,2023-03-24,212253,85,0.00306,0.623,0.755,0.0,0.387,-5.386,0.0415,119.957,0.32,4,7,1,spotify:track:0u8rZGtXJrLtiSe34FPjGG,2023
Still With You,Still With You,Jung Kook,2020-06-05,239905,82,0.0899,0.529,0.469,1.53e-05,0.831,-6.967,0.0358,87.864,0.344,4,1,0,spotify:track:0eFMbKCRw8KByXyWBw8WO7,2020
Interlude : Set me free,D-2,Agust D,2020-05-22,140198,58,0.0755,0.31,0.416,3.34e-05,0.18,-10.429,0.0346,129.925,0.207,4,5,1,spotify:track:0lfJTv87NKrjyr0k7eueUR,2020
Lonely,Indigo,RM,2022-12-02,166020,71,0.168,0.786,0.583,0.000118,0.0828,-7.471,0.0371,114.487,0.674,4,11,0,spotify:track:49iPCmLYg3SS8r2MXcbR1N,2022
Black Swan,MAP OF THE SOUL : 7,BTS,2020-02-21,198260,72,0.137,0.719,0.757,0.0,0.129,-5.167,0.0849,147.024,0.489,4,2,0,spotify:track:2EmcTFQ1rM11wp2ztsXTHa,2020
My You,My You,Jung Kook,2022-06-13,165070,77,0.421,0.451,0.691,0.0,0.338,-5.395,0.0374,143.997,0.354,4,9,1,spotify:track:0pNFrM5L0te1EXGxveeYiR,2022
"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",D-DAY,Agust D,2023-04-21,264760,71,0.21,0.761,0.777,0.0,0.0771,-4.68,0.0941,89.959,0.377,4,5,0,spotify:track:4j3M8NrbGSXdMPwEVsnfHE,2023
No.2 (with parkjiyoon),Indigo,RM,2022-12-02,193963,67,0.599,0.727,0.619,0.0,0.0801,-8.399,0.0808,94.001,0.549,4,4,1,spotify:track:2sXaFMTkBHYrEgfGJ2y27a,2022
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,200929,81,0.115,0.585,0.815,0.0,0.124,-4.165,0.0565,132.09,0.564,4,0,0,spotify:track:59hBR0BCtJsfIbV9VzCVAp,2023
Mikrokosmos,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,224225,71,0.125,0.579,0.858,0.0,0.0502,-5.212,0.114,174.043,0.475,3,8,1,spotify:track:0jSccBRnhNU4KtACMQPvco,2019
Life Goes On,D-DAY,Agust D,2023-04-21,197638,70,0.0345,0.439,0.733,0.0,0.292,-6.471,0.0773,162.125,0.615,4,4,1,spotify:track:7gv3UYPh05ZDP7Io5BIsn7,2023
Smoke Sprite (feat. RM of BTS),Episode1 : Love,So!YoON!,2023-03-14,242200,71,0.151,0.608,0.692,0.0,0.173,-3.182,0.0441,131.972,0.569,4,9,0,spotify:track:5YSkDxmHvzSDWTu4MaEtfa,2023
Gypsophila,Crash Course in Romance OST Part 1,Lee Ju Hyuk,2023-01-15,212796,38,0.178,0.566,0.608,0.000299,0.119,-4.834,0.0257,107.987,0.171,4,3,1,spotify:track:6LA3jxPIsMLM4tpCGrb2B5,2023
Pied Piper,Love Yourself 承 'Her',BTS,2017-09-18,245620,74,0.2,0.583,0.712,0.0,0.268,-4.942,0.0326,94.051,0.778,4,2,0,spotify:track:1ZPeaPDjQOOC8hw1mNjyjF,2017
AMYGDALA,D-DAY,Agust D,2023-04-21,251533,73,0.226,0.311,0.769,0.0,0.105,-4.637,0.0553,78.265,0.16,4,7,1,spotify:track:5fj32MKLHkut2Vod1UodcU,2023
tokyo,mono.,RM,2018-10-23,208936,63,0.828,0.445,0.263,0.00516,0.118,-13.754,0.0342,147.172,0.0712,4,5,0,spotify:track:2YCTRzLwXgiNvbod8xuCHl,2018
= (Equal Sign),Jack In The Box,j-hope,2022-07-15,114477,69,0.0155,0.673,0.75,5.44e-06,0.348,-5.831,0.0655,105.848,0.708,4,9,1,spotify:track:70XnKsO3UnIT4FnEwChQXx,2022
Moon,MAP OF THE SOUL : 7,BTS,2020-02-21,208589,68,0.0104,0.704,0.646,0.0,0.191,-6.658,0.0596,141.87,0.64,4,6,1,spotify:track:6KhAXXgDtEEahVzATvFNcn,2020
Moonlight,D-2,Agust D,2020-05-22,163015,63,0.273,0.689,0.729,0.0,0.059,-5.801,0.225,97.057,0.773,4,7,1,spotify:track:1NuwEuQH7vbDLA9eg5TvEg,2020
Hectic (with Colde),Indigo,RM,2022-12-02,226189,67,0.0189,0.695,0.735,7.8e-05,0.213,-6.352,0.0473,109.999,0.366,4,1,0,spotify:track:3ZCuqvHYhjDlliRH9oCs77,2022
Blue Side,Blue Side,j-hope,2021-03-02,198600,61,0.000963,0.469,0.706,0.449,0.35,-7.441,0.0368,161.002,0.28,4,0,1,spotify:track:1nwdfbj4UyRMpa9L98a4Yi,2021
FAKE LOVE,Love Yourself 轉 'Tear',BTS,2018-05-18,242333,77,0.00267,0.557,0.719,0.0,0.306,-4.515,0.0371,77.502,0.345,4,2,0,spotify:track:6m1TWFMeon7ai9XLOzdbiR,2018
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,2023-06-05,180933,72,0.00942,0.431,0.736,3.19e-05,0.185,-8.282,0.0755,83.627,0.139,4,9,0,spotify:track:3l6LBCOL9nPsSY29TUY2VE,2023
moonchild,mono.,RM,2018-10-23,205833,65,0.0258,0.503,0.869,0.0,0.0659,-5.576,0.214,157.975,0.191,4,9,0,spotify:track:6BnciRM9jyEP9cEjvoN5eI,2018
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,256026,82,0.0408,0.599,0.526,0.00256,0.209,-7.812,0.0385,90.018,0.134,4,9,0,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,2023
Face-off,FACE,Jimin,2023-03-24,229627,82,0.178,0.689,0.539,1.45e-05,0.106,-7.671,0.048,119.949,0.239,4,2,0,spotify:track:3OdIiWnYRHPYtC313Z0Bwy,2023
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook,2023-11-03,183550,90,0.312,0.79,0.831,0.0,0.0797,-4.185,0.044,124.987,0.872,4,11,1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,2023
uhgood,mono.,RM,2018-10-23,194384,60,0.00135,0.531,0.56,0.016,0.131,-6.827,0.0566,85.863,0.0942,4,0,1,spotify:track:5u9Pr2CujzeWFZJPALBPqQ,2018
Slow Dancing,Layover,V,2023-09-08,187026,94,0.257,0.579,0.63,0.00462,0.0986,-7.758,0.058,155.96,0.552,4,8,1,spotify:track:5h1BN75CEh8wdSwE1xrbSe,2023
It Comes Back To You,Smoke + Mirrors,Imagine Dragons,2014-09-18,217400,38,0.065,0.633,0.749,0.0207,0.0676,-7.915,0.0311,99.98,0.491,4,0,1,spotify:track:04Jdmzb6gfuSZxGfAFc2NH,2014
My Time,MAP OF THE SOUL : 7,BTS,2020-02-21,234457,69,0.149,0.674,0.641,0.0,0.0925,-5.139,0.0339,99.91,0.664,4,0,0,spotify:track:0YJFlxeHMUr9MxSDQVuQJA,2020
seoul (prod. HONNE),mono.,RM,2018-10-23,275954,67,0.344,0.581,0.664,2.48e-05,0.324,-8.63,0.0649,99.829,0.452,4,0,1,spotify:track:1sKsYTGy8XfHjCYqcudqG5,2018
All Of The Girls You Loved Before,All Of The Girls You Loved Before,Taylor Swift,2019-08-23,221407,84,0.707,0.718,0.467,6.92e-05,0.126,-9.66,0.0398,95.96,0.396,3,2,1,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,2019
I’ll Embrace Your Past,"See You in My 19th Life, Pt. 4 (Original Television Soundtrack)",Bo Hyun Ahn,2023-07-09,205920,47,0.748,0.508,0.346,0.0,0.0989,-8.159,0.0333,137.855,0.225,4,9,1,spotify:track:068TBg8PXTiiTmPogHDQRi,2023
Answer : Love Myself,Love Yourself 結 'Answer',BTS,2018-08-24,251279,67,0.189,0.568,0.793,0.0,0.111,-3.749,0.0406,108.051,0.45,4,1,1,spotify:track:2X3UgVLSA4wYriGIQyYmMA,2018
All Day (with Tablo),Indigo,RM,2022-12-02,186186,68,0.103,0.756,0.692,0.0,0.283,-4.434,0.122,115.067,0.553,4,8,1,spotify:track:3PgnXyzWXrEoE0oQdLMF3M,2022
Hits Different,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,234466,82,0.148,0.672,0.782,4.73e-06,0.296,-6.499,0.0421,106.026,0.239,4,5,1,spotify:track:3xYJScVfxByb61dYHTwiby,2023
"Lost in Paradise (From ""Jujutsu Kaisen"")","Lost in Paradise (From ""Jujutsu Kaisen"")",Studio Yuraki,2020-11-08,325184,39,0.0105,0.623,0.816,3.44e-05,0.182,-5.882,0.0313,121.949,0.863,4,6,1,spotify:track:2z56dWiPG2xcyGt6jZljOI,2020
Run,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,236748,69,0.00146,0.554,0.878,0.0,0.0998,-3.02,0.0513,132.896,0.55,4,11,0,spotify:track:3G1aAxWS2Nd17FQs4PWV6X,2015
Wild Flower (with youjeen),Indigo,RM,2022-12-02,273499,80,0.0282,0.486,0.766,0.0,0.123,-5.821,0.0938,154.992,0.417,4,8,1,spotify:track:1AZjCZSGEjlxUufFQwSszF,2022
Star,"See You in My 19th Life, Pt. 2 (Original Television Soundtrack)",Colde,2023-06-25,221000,70,0.396,0.553,0.449,6.46e-06,0.134,-8.251,0.0237,89.338,0.115,4,3,1,spotify:track:73Zoq6Z5lXVJPAERw2s9fp,2023
For Us,Layover,V,2023-09-08,171160,83,0.798,0.556,0.339,0.0118,0.172,-11.128,0.033,84.968,0.215,4,1,0,spotify:track:4HAOgAnILvXCbSODMoRnmD,2023
Filter,MAP OF THE SOUL : 7,BTS,2020-02-21,180220,74,0.0224,0.779,0.762,0.0,0.121,-5.188,0.0631,110.043,0.859,4,10,0,spotify:track:4bZZVcgWWMWPBwzTTp642w,2020
Bicycle,Bicycle,RM,2021-06-07,205956,61,0.0399,0.61,0.702,0.00287,0.29,-5.806,0.0451,91.035,0.513,4,7,1,spotify:track:5zvLKLuTQvN8BzdQtOSBd3,2021
Sirens,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,155312,60,0.0557,0.67,0.671,0.00844,0.11,-6.488,0.0363,98.965,0.363,4,11,0,spotify:track:3IkEM7cjZ8FZtmVFq1q03c,2022
The Astronaut,The Astronaut,JIN,2022-10-28,282463,87,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,124.988,0.215,4,5,1,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,2022
00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,2020-02-21,250295,70,0.0806,0.56,0.547,0.0,0.11,-6.456,0.0675,157.962,0.199,4,1,1,spotify:track:6fqaMyg066xlukvUJWdM2T,2020
SEXY NUKIM,January Never Dies,Balming Tiger,2023-10-19,230728,54,0.00226,0.75,0.671,0.159,0.369,-6.498,0.105,94.011,0.458,4,1,1,spotify:track:5EOZTsZ3szMYaIm7POU4aX,2023
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,231746,81,0.214,0.611,0.483,0.0,0.124,-6.216,0.055,145.983,0.204,4,11,0,spotify:track:39MK3d3fonIP8Mz9oHCTBB,2023
D-Day,D-DAY,Agust D,2023-04-21,211373,71,0.294,0.59,0.878,0.0,0.0959,-3.199,0.266,139.934,0.699,5,4,0,spotify:track:22W6wI4hDTjMAYKKBQW9dU,2023
Take Two,Take Two,BTS,2023-06-09,229953,84,0.0268,0.617,0.589,0.0,0.378,-5.978,0.0345,92.991,0.566,4,7,1,spotify:track:5IAESfJjmOYu7cHyX557kz,2023
Yun (with Erykah Badu),Indigo,RM,2022-12-02,233688,67,0.429,0.476,0.7,0.0,0.157,-5.569,0.276,85.114,0.625,4,0,0,spotify:track:3F3PuqGinS2T1ePmjUTw9t,2022
Alone,FACE,Jimin,2023-03-24,211250,81,0.283,0.593,0.446,0.0,0.119,-7.776,0.0266,102.057,0.168,4,0,0,spotify:track:5Hfnps0jaWFpYg55WOPexG,2023
Rainy Days,Layover,V,2023-08-11,179560,83,0.739,0.633,0.454,0.0,0.148,-8.016,0.0875,74.828,0.282,4,9,0,spotify:track:5ydjxBSUIDn26MFzU3asP4,2023
Blood Sweat & Tears,Wings,BTS,2016-10-10,217051,74,0.0244,0.584,0.885,0.0,0.357,-3.571,0.104,92.9,0.605,4,0,0,spotify:track:2u54HNQamwFuOMLSuhSRom,2016
28 (feat. NiiHWA),D-2,Agust D,2020-05-22,133673,64,0.0897,0.679,0.645,0.0,0.121,-7.107,0.0513,119.934,0.349,4,9,0,spotify:track:3pGNUEIlaUlCU8mXxKInzw,2020
Future,Jack In The Box,j-hope,2022-07-15,139308,63,0.0652,0.717,0.822,0.0,0.36,-5.249,0.0879,102.042,0.764,4,6,1,spotify:track:0Puudh380z6cOCgMaTNm7h,2022
"Closer (with Paul Blanco, Mahalia)",Indigo,RM,2022-12-02,196507,71,0.459,0.507,0.706,2.37e-06,0.163,-6.395,0.173,92.828,0.403,4,8,1,spotify:track:0Cuwd86fyu0lPVokzTp8Hu,2022
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,78,0.0933,0.645,0.862,0.0,0.193,-4.761,0.0845,119.947,0.803,4,11,0,spotify:track:4a9tbd947vo9K8Vti9JwcI,2019
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290616,90,0.0205,0.37,0.467,0.572,0.109,-9.013,0.0273,94.485,0.182,4,5,1,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,2017
Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,210928,76,0.299,0.512,0.76,0.0,0.103,-5.889,0.0682,130.096,0.495,4,2,0,spotify:track:7CAdT0HdiQNlt1C7xk2hep,2022
青のすみか,青のすみか,Tatsuya Kitani,2023-07-07,196466,83,0.0134,0.479,0.898,0.0,0.297,-4.809,0.169,151.99,0.639,4,1,1,spotify:track:12usPU2WnqgCHAW1EK2dfd,2023
Intro : Persona,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,171023,60,0.0278,0.486,0.871,0.0,0.313,-4.475,0.337,85.411,0.659,4,9,0,spotify:track:2GXWzWPsYlTZcvVW8JIu69,2019
燈,i 触れる SAD UFO,Soushi Sakiyama,2023-08-09,239106,69,0.27,0.645,0.72,0.0,0.277,-4.515,0.0355,127.052,0.634,4,5,1,spotify:track:7jtXjZ3JViUo9M3ogYAapO,2023
3D (feat. Jack Harlow),3D : The Remixes,Jung Kook,2023-10-02,201812,86,0.0322,0.853,0.824,0.0,0.0859,-3.287,0.103,108.044,0.888,4,1,1,spotify:track:01qFKNWq73UfEslI0GvumE,2023
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,2023-10-26,180381,90,0.345,0.629,0.413,7.62e-05,0.0603,-13.178,0.055,77.983,0.306,4,7,1,spotify:track:71BqAINEnezjQfxE4VuJfq,2023
Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,75,0.00631,0.539,0.846,1.71e-06,0.13,-3.192,0.0354,106.994,0.462,4,8,1,spotify:track:2j1fFjWHCI9KJSwcuYAOyF,2017
