name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Into It,Chase Atlantic,Chase Atlantic,2017-10-04,196767,83,0.0503,0.518,0.572,2.41e-05,0.129,-6.706,0.0416,130.053,0.291,4,10,0,spotify:track:4HwDCXsMBC7SUdp2WT4MZP,2017
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,2022-08-05,172714,75,0.0185,0.762,0.861,0.0,0.264,-3.296,0.0955,120.048,0.955,4,0,1,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,2022
Can I,It Was Good Until It Wasn't,Kehlani,2020-05-08,167810,69,0.419,0.574,0.791,0.0,0.0982,-3.752,0.11,119.537,0.612,4,1,1,spotify:track:0uDdI4fAXCuNhQbmxENdsO,2020
Yet To Come,Proof,BTS,2022-06-10,193593,75,0.0432,0.559,0.885,0.0,0.333,-4.515,0.189,172.029,0.683,4,1,1,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,2022
Often,Beauty Behind The Madness,The Weeknd,2015-08-28,249040,83,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,0.0713,4,7,0,spotify:track:4PhsKqMdgMEUSstTDAmMpg,2015
With you,"Our Blues, Pt. 4 (Original Television Soundtrack)",Jimin,2022-04-24,201905,75,0.639,0.532,0.426,0.0,0.134,-6.117,0.0288,149.898,0.137,3,3,1,spotify:track:2gzhQaCTeNgxpeB2TPllyY,2022
Boyfriend,Boyfriend,Dove Cameron,2022-02-11,153000,83,0.232,0.345,0.612,0.0,0.194,-6.543,0.0608,179.773,0.232,3,7,0,spotify:track:59CfNbkERJ3NoTXDvoURjj,2022
Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,79,0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,0.284,4,0,0,spotify:track:7I7JbDv63ZJJsSi24DyJrz,2017
Swim,Chase Atlantic,Chase Atlantic,2017-10-04,228786,84,0.27,0.666,0.542,0.0,0.0765,-6.429,0.0392,120.134,0.0771,4,8,1,spotify:track:3M0lSi5WW79CXQamgSBIjx,2017
True Colors,Starboy,The Weeknd,2016-11-25,206013,67,0.286,0.624,0.424,0.0,0.173,-8.237,0.24,76.671,0.584,4,1,1,spotify:track:1oGdVdYjeQvojGKDddxLQQ,2016
