name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,210928,76,0.299,0.512,0.76,0.0,0.103,-5.889,0.0682,130.096,0.495,4,2,0,spotify:track:7CAdT0HdiQNlt1C7xk2hep,2022
With you,"Our Blues, Pt. 4 (Original Television Soundtrack)",Jimin,2022-04-24,201905,74,0.639,0.532,0.426,0.0,0.134,-6.117,0.0288,149.898,0.137,3,3,1,spotify:track:2gzhQaCTeNgxpeB2TPllyY,2022
Talk that Talk,BETWEEN 1&2,TWICE,2022-08-26,177466,76,0.136,0.772,0.907,0.0,0.334,-2.438,0.124,119.973,0.783,4,3,0,spotify:track:0RDqNCRBGrSegk16Avfzuq,2022
Yet To Come,Proof,BTS,2022-06-10,193593,74,0.0432,0.559,0.885,0.0,0.333,-4.515,0.189,172.029,0.683,4,1,1,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,2022
TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,174386,78,0.00988,0.755,0.87,0.0,0.0917,-2.414,0.0936,124.032,0.645,4,1,0,spotify:track:0IGUXY4JbK18bu9oD4mPIm,2022
The Astronaut,The Astronaut,JIN,2022-10-28,282463,87,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,124.988,0.215,4,5,1,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,2022
Queen of Hearts,BETWEEN 1&2,TWICE,2022-08-26,186946,63,0.102,0.666,0.847,0.0,0.0702,-2.526,0.106,149.94,0.815,4,10,0,spotify:track:3sOEVB8DirQtZc0qhw8lJc,2022
Butter,Proof,BTS,2022-06-10,164952,78,0.00323,0.759,0.459,0.0,0.0788,-5.187,0.0948,109.997,0.695,4,8,1,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,2022
= (Equal Sign),Jack In The Box,j-hope,2022-07-15,114477,69,0.0155,0.673,0.75,5.44e-06,0.348,-5.831,0.0655,105.848,0.708,4,9,1,spotify:track:70XnKsO3UnIT4FnEwChQXx,2022
Yours,Jirisan (Original Television Soundtrack) Pt. 4,JIN,2021-11-07,264840,72,0.354,0.488,0.427,0.0,0.0797,-7.383,0.0382,72.035,0.157,4,6,1,spotify:track:66sBTYlkaiyBwf4fhbIHlZ,2021
