name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook,2023-11-03,183550,90,0.312,0.79,0.831,0.0,0.0797,-4.185,0.044,124.987,0.872,4,11,1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,2023
Like Crazy,FACE,Jimin,2023-03-24,212241,94,0.0025,0.629,0.733,0.0,0.357,-5.445,0.0419,120.001,0.362,4,7,1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,2023
Smoke Sprite (feat. RM of BTS),Episode1 : Love,So!YoON!,2023-03-14,242200,71,0.151,0.608,0.692,0.0,0.173,-3.182,0.0441,131.972,0.569,4,9,0,spotify:track:5YSkDxmHvzSDWTu4MaEtfa,2023
"Closer (with Paul Blanco, Mahalia)",Indigo,RM,2022-12-02,196507,71,0.459,0.507,0.706,2.37e-06,0.163,-6.395,0.173,92.828,0.403,4,8,1,spotify:track:0Cuwd86fyu0lPVokzTp8Hu,2022
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,200929,81,0.115,0.585,0.815,0.0,0.124,-4.165,0.0565,132.09,0.564,4,0,0,spotify:track:59hBR0BCtJsfIbV9VzCVAp,2023
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
Rainy Days,Layover,V,2023-08-11,179560,83,0.739,0.633,0.454,0.0,0.148,-8.016,0.0875,74.828,0.282,4,9,0,spotify:track:5ydjxBSUIDn26MFzU3asP4,2023
Wild Flower (with youjeen),Indigo,RM,2022-12-02,273499,80,0.0282,0.486,0.766,0.0,0.123,-5.821,0.0938,154.992,0.417,4,8,1,spotify:track:1AZjCZSGEjlxUufFQwSszF,2022
People Pt.2 (feat. IU),D-DAY,Agust D,2023-04-21,213995,77,0.391,0.729,0.574,0.0,0.319,-4.779,0.0589,88.94,0.438,4,7,0,spotify:track:41JPN7pZMTp1sumBOHOzHd,2023
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,2023-06-05,180933,72,0.00942,0.431,0.736,3.19e-05,0.185,-8.282,0.0755,83.627,0.139,4,9,0,spotify:track:3l6LBCOL9nPsSY29TUY2VE,2023
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290616,90,0.0205,0.37,0.467,0.572,0.109,-9.013,0.0273,94.485,0.182,4,5,1,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,2017
Take Two,Take Two,BTS,2023-06-09,229953,84,0.0268,0.617,0.589,0.0,0.378,-5.978,0.0345,92.991,0.566,4,7,1,spotify:track:5IAESfJjmOYu7cHyX557kz,2023
Haegeum,D-DAY,Agust D,2023-04-21,168926,83,0.313,0.697,0.837,0.0,0.471,-2.651,0.304,85.097,0.831,5,7,1,spotify:track:4bjN59DRXFRxBE1g5ne6B1,2023
Face-off,FACE,Jimin,2023-03-24,229627,82,0.178,0.689,0.539,1.45e-05,0.106,-7.671,0.048,119.949,0.239,4,2,0,spotify:track:3OdIiWnYRHPYtC313Z0Bwy,2023
K.,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,320030,86,0.139,0.454,0.4,0.846,0.137,-10.261,0.0265,93.719,0.327,4,3,1,spotify:track:1FWsomP9StpCcXNWmJk8Cl,2017
KAZINO,KAZINO,BIBI,2020-04-29,185946,66,0.139,0.625,0.686,0.0,0.11,-3.715,0.0414,133.041,0.263,4,6,0,spotify:track:245onUPHGD1DYuiacxTuW0,2020
Love Me Again,Layover,V,2023-08-11,182293,90,0.183,0.633,0.607,1.38e-06,0.167,-6.182,0.0532,74.029,0.363,4,0,0,spotify:track:2N0SPREDYqILVEFSsWF5N5,2023
Like Crazy (English Version),FACE,Jimin,2023-03-24,212253,85,0.00306,0.623,0.755,0.0,0.387,-5.386,0.0415,119.957,0.32,4,7,1,spotify:track:0u8rZGtXJrLtiSe34FPjGG,2023
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,215150,86,0.0527,0.405,0.479,0.795,0.0974,-9.396,0.0301,75.37,0.131,4,5,1,spotify:track:0SpkyS1Q4MD8GaVcP5YjT4,2017
Still Life (with Anderson .Paak),Indigo,RM,2022-12-02,175328,74,0.277,0.831,0.721,0.0,0.0403,-5.447,0.164,124.007,0.443,4,11,0,spotify:track:3p4N6mBFv42M8dI8SUoPre,2022
Blue Side,Blue Side,j-hope,2021-03-02,198600,61,0.000963,0.469,0.706,0.449,0.35,-7.441,0.0368,161.002,0.28,4,0,1,spotify:track:1nwdfbj4UyRMpa9L98a4Yi,2021
VIBE (feat. Jimin of BTS),Down to Earth,TAEYANG,2023-04-25,175775,70,0.0936,0.787,0.671,0.0,0.249,-5.6,0.0572,100.078,0.591,4,0,1,spotify:track:4NIe9Is7bN5JWyTeCW2ahK,2023
Ditto,Ditto,NewJeans,2022-12-19,185506,85,0.027,0.814,0.641,0.0,0.0993,-5.957,0.111,133.854,0.183,4,6,0,spotify:track:3r8RuvgbX9s7ammBn07D3W,2022
SDL,D-DAY,Agust D,2023-04-21,171442,69,0.2,0.575,0.854,0.0,0.226,-2.62,0.214,164.029,0.609,4,9,1,spotify:track:2vRoAkwc3UBEPW2udvN0u9,2023
seven,folklore,Taylor Swift,2020-07-24,208906,77,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,0.415,4,4,1,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,2020
All Day (with Tablo),Indigo,RM,2022-12-02,186186,68,0.103,0.756,0.692,0.0,0.283,-4.434,0.122,115.067,0.553,4,8,1,spotify:track:3PgnXyzWXrEoE0oQdLMF3M,2022
Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290630,70,0.479,0.378,0.533,0.508,0.131,-8.843,0.0279,75.927,0.285,4,10,1,spotify:track:2hIsd0F6ZGfHCC1xa7vSad,2017
D-Day,D-DAY,Agust D,2023-04-21,211373,71,0.294,0.59,0.878,0.0,0.0959,-3.199,0.266,139.934,0.699,5,4,0,spotify:track:22W6wI4hDTjMAYKKBQW9dU,2023
Seven (feat. Latto) (Instrumental),Seven (feat. Latto),Jung Kook,2023-07-14,184240,60,0.0479,0.846,0.9,0.839,0.0651,-6.179,0.0857,125.041,0.565,4,8,0,spotify:track:2D9mO7arRSeHAEHNVAacaA,2023
Lonely,Indigo,RM,2022-12-02,166020,71,0.168,0.786,0.583,0.000118,0.0828,-7.471,0.0371,114.487,0.674,4,11,0,spotify:track:49iPCmLYg3SS8r2MXcbR1N,2022
Blue,Layover,V,2023-09-08,149853,83,0.68,0.735,0.442,0.0011,0.0992,-9.529,0.0719,128.013,0.277,4,2,0,spotify:track:2UU11hvjN1JIn4iihEodNT,2023
Polar Night,D-DAY,Agust D,2023-04-21,165319,66,0.137,0.68,0.877,0.0,0.34,-4.224,0.223,128.045,0.906,4,6,0,spotify:track:3JSodIIStqTwXSH7nXOuhe,2023
