name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Enemy - From the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,2021-10-27,173381,75,0.247,0.722,0.745,0.0,0.419,-4.164,0.256,77.029,0.52,4,7,1,spotify:track:5UlnuulVAVmmesw4VzqHdG,2021
Cinema,Harry's House,Harry Styles,2022-05-20,243507,73,0.354,0.829,0.644,0.0511,0.0944,-7.696,0.0427,105.993,0.896,4,9,0,spotify:track:35TyJIMR3xRouUuo2sjS6v,2022
Go!,Twenty-Five Twenty-One OST Part 5,DOKYEOM,2022-02-27,209711,59,0.0145,0.45,0.901,2.61e-06,0.361,-3.953,0.0502,156.861,0.511,4,5,1,spotify:track:4hzeoIOERTL4jdTXAQ0FWr,2022
Sirens,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,155312,60,0.0557,0.67,0.671,0.00844,0.11,-6.488,0.0363,98.965,0.363,4,11,0,spotify:track:3IkEM7cjZ8FZtmVFq1q03c,2022
gold rush,evermore (deluxe version),Taylor Swift,2021-01-07,185320,73,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,4,9,1,spotify:track:3Dby3p1m6IOZn2gIIqECgK,2021
Beyond My Dreams,Extraordinary Attorney Woo (Original Television Soundtrack) Pt. 2,Sunwoojunga,2022-06-30,185508,53,0.762,0.519,0.352,0.0,0.113,-8.332,0.0244,78.943,0.269,3,7,1,spotify:track:5NVkktUlAylhk7f0t63eth,2022
Moment In The Sun,Moment In The Sun,Sunflower Bean,2020-09-17,189634,54,0.0576,0.687,0.63,0.0,0.257,-5.13,0.031,115.986,0.548,4,2,1,spotify:track:3srgB1L9XfePDOIY4DrN2K,2020
Bones,Bones,Imagine Dragons,2022-03-11,165264,82,0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,0.571,4,5,0,spotify:track:0HqZX76SFLDz2aW8aiqi7G,2022
it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,254640,74,0.801,0.592,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,0.416,4,0,1,spotify:track:1kdWw77ZpYOkhxeuhzU1j6,2021
Your Existence,Twenty-Five Twenty-One OST Part 4,Wonstein,2022-02-26,204229,65,0.536,0.418,0.603,2.52e-05,0.11,-9.379,0.204,100.171,0.657,4,7,1,spotify:track:2tmX4T7ODY34NwvQ3DD3MC,2022
Grapejuice,Harry's House,Harry Styles,2022-05-20,191958,74,0.357,0.645,0.721,0.143,0.204,-4.394,0.0336,182.928,0.88,4,5,1,spotify:track:4j6kId9QIqhoXvqHKgSKa0,2022
Life Goes On,BE,BTS,2020-11-20,207481,77,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,4,1,1,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,2020
right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,83,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,4,10,1,spotify:track:3zwMVvkBe2qIKDObWgXw4N,2021
Want Me,Want Me,Baby Queen,2020-11-05,258319,56,0.00167,0.568,0.904,2.55e-06,0.11,-4.772,0.226,169.935,0.487,4,6,0,spotify:track:3gZyxP7keADPPc8lEJWehW,2020
As It Was,Harry's House,Harry Styles,2022-05-20,167303,94,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,4,6,0,spotify:track:4Dvkj6JhhA12EX05fT7y2e,2022
"Very, Slowly",Twenty-Five Twenty-One OST Part 3,BIBI,2022-02-20,214851,61,0.678,0.528,0.423,0.00148,0.167,-7.381,0.0264,135.917,0.249,4,8,1,spotify:track:7GkHIsnziYgk6j1lx2TK6H,2022
The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,2022-02-11,185422,70,0.924,0.528,0.309,2.1e-06,0.282,-7.398,0.0329,133.83,0.307,4,0,1,spotify:track:6N1K5OVVCopBjGViHs2IvP,2022
Paper Mache World,Because I Wanted You to Know,Matilda Mann,2020-11-20,179083,54,0.455,0.479,0.754,5.82e-06,0.127,-5.818,0.0849,180.109,0.575,4,2,1,spotify:track:3Maqlu2aPlU8NluW19O8JD,2020
Daylight,Harry's House,Harry Styles,2022-05-20,164533,79,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,145.5,0.626,3,0,1,spotify:track:51Zw1cKDgkad0CXv23HCMU,2022
With,Twenty-Five Twenty-One OST,Various Artists,2022-04-03,269678,53,0.525,0.565,0.461,1.37e-05,0.114,-6.568,0.0228,76.0,0.322,4,9,1,spotify:track:73ZHqY7Ma03NpKiKs26yQU,2022
my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,82,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,0.111,4,0,1,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,2020
Who am I (เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS),Who am I - Single,Various Artists,2021-12-28,228750,54,0.218,0.688,0.64,5.85e-05,0.17,-9.42,0.0353,135.979,0.48,4,11,0,spotify:track:1pRgexHeHDqFF0G3dttWR9,2021
The Image of You (Remains in My Memory),"Hometown Cha-Cha-Cha, Pt. 6 (Original Television Soundtrack)",Sandeul,2021-10-03,189074,50,0.578,0.657,0.525,0.0,0.149,-6.49,0.0323,89.067,0.403,4,0,1,spotify:track:47VBwKrb9UrN66EXXG71iT,2021
Better Than Birthday,이상한 변호사 우영우 (Original Television Soundtrack) Pt. 3,O3ohn,2022-07-18,226773,33,0.471,0.678,0.43,0.000418,0.0966,-9.909,0.0265,120.014,0.368,4,3,1,spotify:track:5IfGBdAnVcrRZ43ABAgu9A,2022
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,263533,70,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,0.41,4,7,1,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,2021
