name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Haegeum,D-DAY,Agust D,2023-04-21,168926,83,0.313,0.697,0.837,0.0,0.471,-2.651,0.304,85.097,0.831,5,7,1,spotify:track:4bjN59DRXFRxBE1g5ne6B1,2023
Life Goes On,D-DAY,Agust D,2023-04-21,197638,70,0.0345,0.439,0.733,0.0,0.292,-6.471,0.0773,162.125,0.615,4,4,1,spotify:track:7gv3UYPh05ZDP7Io5BIsn7,2023
People Pt.2 (feat. IU),D-DAY,Agust D,2023-04-21,213995,77,0.391,0.729,0.574,0.0,0.319,-4.779,0.0589,88.94,0.438,4,7,0,spotify:track:41JPN7pZMTp1sumBOHOzHd,2023
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
AMYGDALA,D-DAY,Agust D,2023-04-21,251533,73,0.226,0.311,0.769,0.0,0.105,-4.637,0.0553,78.265,0.16,4,7,1,spotify:track:5fj32MKLHkut2Vod1UodcU,2023
All 4 Nothing (I'm So In Love),All 4 Nothing,Lauv,2022-08-05,183014,69,0.0411,0.72,0.819,0.0,0.0606,-4.588,0.0362,131.99,0.898,4,1,1,spotify:track:7I5WT7DtpwSAhEeDLpZEfm,2022
Like Crazy,FACE,Jimin,2023-03-24,212241,94,0.0025,0.629,0.733,0.0,0.357,-5.445,0.0419,120.001,0.362,4,7,1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,2023
I Can Love Anyone (As Long As It's You),I Can Love Anyone (As Long As It's You),Anson Seabra,2023-01-27,202923,46,0.79,0.472,0.28,0.0,0.14,-9.061,0.0865,69.953,0.226,4,9,1,spotify:track:16TVnHHANCCcDN7673V7tC,2023
Smoke Sprite (feat. RM of BTS),Episode1 : Love,So!YoON!,2023-03-14,242200,71,0.151,0.608,0.692,0.0,0.173,-3.182,0.0441,131.972,0.569,4,9,0,spotify:track:5YSkDxmHvzSDWTu4MaEtfa,2023
Iraaday,Iraaday,Rovalio,2022-03-18,133305,73,0.601,0.737,0.458,6.98e-06,0.138,-5.805,0.0317,89.993,0.456,4,6,1,spotify:track:6qrifdo7QINdPQr80IelGi,2022
D-Day,D-DAY,Agust D,2023-04-21,211373,71,0.294,0.59,0.878,0.0,0.0959,-3.199,0.266,139.934,0.699,5,4,0,spotify:track:22W6wI4hDTjMAYKKBQW9dU,2023
Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",V,2021-12-24,209946,77,0.699,0.437,0.384,2.33e-05,0.121,-8.384,0.042,139.009,0.181,4,5,1,spotify:track:186NCtNk1tUYS7c2DxgJ7O,2021
Bye,Bye,Aditya Bhardwaj,2022-12-02,174285,70,0.0433,0.571,0.814,8.73e-05,0.0762,-7.515,0.121,168.064,0.461,4,6,1,spotify:track:0PGU5mcLncBYE8yuVpSwqA,2022
Wild Flower (with youjeen),Indigo,RM,2022-12-02,273499,80,0.0282,0.486,0.766,0.0,0.123,-5.821,0.0938,154.992,0.417,4,8,1,spotify:track:1AZjCZSGEjlxUufFQwSszF,2022
HUH?! (feat. j-hope),D-DAY,Agust D,2023-04-21,183290,69,0.207,0.763,0.806,0.0,0.229,-2.785,0.302,139.911,0.522,4,9,1,spotify:track:6XrPzwKeGzEvtan3acn7VH,2023
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,75,0.491,0.459,0.339,6.05e-06,0.0892,-7.961,0.0251,92.097,0.146,4,3,1,spotify:track:3Wno87vVBVbSVS2vUUFuKC,2020
The Astronaut,The Astronaut,JIN,2022-10-28,282463,87,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,124.988,0.215,4,5,1,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,2022
Coffee,"O!RUL8,2?",BTS,2013-09-11,260433,66,0.00862,0.656,0.798,0.0,0.321,-6.608,0.103,92.031,0.573,4,0,1,spotify:track:4eqHEzFsCCiGALC1MHbqnU,2013
SDL,D-DAY,Agust D,2023-04-21,171442,69,0.2,0.575,0.854,0.0,0.226,-2.62,0.214,164.029,0.609,4,9,1,spotify:track:2vRoAkwc3UBEPW2udvN0u9,2023
"Closer (with Paul Blanco, Mahalia)",Indigo,RM,2022-12-02,196507,71,0.459,0.507,0.706,2.37e-06,0.163,-6.395,0.173,92.828,0.403,4,8,1,spotify:track:0Cuwd86fyu0lPVokzTp8Hu,2022
Jo Tu Na Mila,Jo Tu Na Mila,Asim Azhar,2018-11-20,234037,71,0.0636,0.508,0.507,1.15e-05,0.359,-5.33,0.0384,159.68,0.218,4,0,0,spotify:track:6DefzsWqnwrFrmNVnJxWkS,2018
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,68,0.179,0.707,0.791,0.0,0.102,-4.483,0.035,106.985,0.674,4,5,0,spotify:track:0mZI1NpihIVcho2f9MmqSW,2018
"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",D-DAY,Agust D,2023-04-21,264760,71,0.21,0.761,0.777,0.0,0.0771,-4.68,0.0941,89.959,0.377,4,5,0,spotify:track:4j3M8NrbGSXdMPwEVsnfHE,2023
moonchild,mono.,RM,2018-10-23,205833,65,0.0258,0.503,0.869,0.0,0.0659,-5.576,0.214,157.975,0.191,4,9,0,spotify:track:6BnciRM9jyEP9cEjvoN5eI,2018
VIBE (feat. Jimin of BTS),Down to Earth,TAEYANG,2023-04-25,175775,70,0.0936,0.787,0.671,0.0,0.249,-5.6,0.0572,100.078,0.591,4,0,1,spotify:track:4NIe9Is7bN5JWyTeCW2ahK,2023
For You,Youth,BTS,2016-09-07,284586,56,0.44,0.548,0.809,0.0,0.102,-4.533,0.185,165.892,0.574,4,4,1,spotify:track:2offgVA6h500KKIvUYU5kP,2016
People,D-2,Agust D,2020-05-22,197000,69,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:6HDHaCnH2FCSdEwXrJfEVF,2020
Still Life (with Anderson .Paak),Indigo,RM,2022-12-02,175328,74,0.277,0.831,0.721,0.0,0.0403,-5.447,0.164,124.007,0.443,4,11,0,spotify:track:3p4N6mBFv42M8dI8SUoPre,2022
Like Crazy (English Version),FACE,Jimin,2023-03-24,212253,85,0.00306,0.623,0.755,0.0,0.387,-5.386,0.0415,119.957,0.32,4,7,1,spotify:track:0u8rZGtXJrLtiSe34FPjGG,2023
Life Goes On,BE,BTS,2020-11-20,207481,77,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,4,1,1,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,2020
Polar Night,D-DAY,Agust D,2023-04-21,165319,66,0.137,0.68,0.877,0.0,0.34,-4.224,0.223,128.045,0.906,4,6,0,spotify:track:3JSodIIStqTwXSH7nXOuhe,2023
Lonely,Indigo,RM,2022-12-02,166020,71,0.168,0.786,0.583,0.000118,0.0828,-7.471,0.0371,114.487,0.674,4,11,0,spotify:track:49iPCmLYg3SS8r2MXcbR1N,2022
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,2023-06-05,180933,72,0.00942,0.431,0.736,3.19e-05,0.185,-8.282,0.0755,83.627,0.139,4,9,0,spotify:track:3l6LBCOL9nPsSY29TUY2VE,2023
Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,75,0.00631,0.539,0.846,1.71e-06,0.13,-3.192,0.0354,106.994,0.462,4,8,1,spotify:track:2j1fFjWHCI9KJSwcuYAOyF,2017
so far away (Feat. SURAN),Agust D,Agust D,2016-08-16,358270,64,0.0093,0.482,0.828,0.0,0.325,-4.501,0.104,93.892,0.274,4,11,0,spotify:track:2FviiM1DSKfJSRxMV5TD9w,2016
seoul (prod. HONNE),mono.,RM,2018-10-23,275954,67,0.344,0.581,0.664,2.48e-05,0.324,-8.63,0.0649,99.829,0.452,4,0,1,spotify:track:1sKsYTGy8XfHjCYqcudqG5,2018
tere bina,tere bina,Zaeden,2019-09-05,157245,66,0.117,0.889,0.341,3.7e-06,0.0734,-7.909,0.0424,118.003,0.942,4,7,1,spotify:track:6N5WkgPIDoTdbCXyyIIKAv,2019
Who,~how i'm feeling~,Lauv,2020-03-06,180413,74,0.558,0.632,0.337,0.0,0.104,-8.0,0.033,141.701,0.0982,3,11,0,spotify:track:0pSqYDTjY1Xt86usTQslAx,2020
Dear my friend (feat. Kim Jong Wan of NELL),D-2,Agust D,2020-05-22,292078,62,0.0181,0.561,0.735,8.54e-06,0.0571,-6.344,0.0638,148.025,0.27,4,0,1,spotify:track:6lUjwGIRWdcowZJRZrpqEr,2020
uhgood,mono.,RM,2018-10-23,194384,60,0.00135,0.531,0.56,0.016,0.131,-6.827,0.0566,85.863,0.0942,4,0,1,spotify:track:5u9Pr2CujzeWFZJPALBPqQ,2018
Gul,Gul,Anuv Jain,2021-07-16,217250,71,0.871,0.6,0.294,8.66e-05,0.102,-12.301,0.0292,86.97,0.342,4,6,1,spotify:track:6ivemTXTn27PwVjtd0oqDs,2021
Magic Shop,Love Yourself 轉 'Tear',BTS,2018-05-18,275695,71,0.103,0.531,0.661,0.0,0.0779,-5.836,0.0907,149.934,0.278,4,1,1,spotify:track:5MTGPkmiUuud9NkA0sl2nI,2018
Interlude : Dawn,D-DAY,Agust D,2023-04-21,105139,69,0.898,0.188,0.309,0.771,0.0621,-10.564,0.0287,90.687,0.0677,4,5,0,spotify:track:56tf3cHQkwmvoplotk5QXd,2023
With you,"Our Blues, Pt. 4 (Original Television Soundtrack)",Jimin,2022-04-24,201905,74,0.639,0.532,0.426,0.0,0.134,-6.117,0.0288,149.898,0.137,3,3,1,spotify:track:2gzhQaCTeNgxpeB2TPllyY,2022
Forg_tful (with Kim Sawol),Indigo,RM,2022-12-02,162295,66,0.674,0.766,0.26,2.47e-06,0.13,-11.19,0.0558,124.838,0.305,4,4,1,spotify:track:1mrS1j5cwaffpXsthTb2Qx,2022
Yet To Come,Proof,BTS,2022-06-10,193593,74,0.0432,0.559,0.885,0.0,0.333,-4.515,0.189,172.029,0.683,4,1,1,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,2022
Interlude : Set me free,D-2,Agust D,2020-05-22,140198,58,0.0755,0.31,0.416,3.34e-05,0.18,-10.429,0.0346,129.925,0.207,4,5,1,spotify:track:0lfJTv87NKrjyr0k7eueUR,2020
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,200929,81,0.115,0.585,0.815,0.0,0.124,-4.165,0.0565,132.09,0.564,4,0,0,spotify:track:59hBR0BCtJsfIbV9VzCVAp,2023
Change pt.2,Indigo,RM,2022-12-02,114026,70,0.0773,0.677,0.477,0.0,0.396,-8.237,0.208,78.896,0.384,4,9,1,spotify:track:2hMvhh9FiCB6njOYR7tkT8,2022
Euphoria,Love Yourself 結 'Answer',BTS,2018-08-24,228615,78,0.394,0.637,0.799,0.0,0.0921,-4.518,0.0338,104.996,0.57,4,2,1,spotify:track:5YMXGBD6vcYP7IolemyLtK,2018
28 (feat. NiiHWA),D-2,Agust D,2020-05-22,133673,64,0.0897,0.679,0.645,0.0,0.121,-7.107,0.0513,119.934,0.349,4,9,0,spotify:track:3pGNUEIlaUlCU8mXxKInzw,2020
Riha,Riha,Anuv Jain,2019-07-28,287312,60,0.896,0.395,0.148,0.0,0.114,-11.016,0.03,142.691,0.4,4,3,1,spotify:track:54XrOdhUS2311wIt9m0OlD,2019
All Day (with Tablo),Indigo,RM,2022-12-02,186186,68,0.103,0.756,0.692,0.0,0.283,-4.434,0.122,115.067,0.553,4,8,1,spotify:track:3PgnXyzWXrEoE0oQdLMF3M,2022
Make It Right,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,226321,67,0.0104,0.639,0.706,0.0,0.132,-7.874,0.448,105.782,0.259,4,7,1,spotify:track:3LSjYk6sFQaLi0MjtWcm8P,2019
Daechwita,D-2,Agust D,2020-05-22,225668,73,0.0229,0.65,0.827,0.0,0.121,-4.014,0.0599,144.995,0.223,4,8,1,spotify:track:0JKGe340YJwfDrpXqPQ8sw,2020
That That (prod.&feat. SUGA of BTS),PSY 9th,PSY,2022-04-29,174646,75,0.0299,0.905,0.962,0.0,0.0272,-3.197,0.0856,129.969,0.906,4,4,1,spotify:track:7GNRUsU3M4XNDDB9xle5Dz,2022
Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,210928,76,0.299,0.512,0.76,0.0,0.103,-5.889,0.0682,130.096,0.495,4,2,0,spotify:track:7CAdT0HdiQNlt1C7xk2hep,2022
Film out,Film out,BTS,2021-04-01,214620,67,0.296,0.499,0.709,0.0,0.331,-6.404,0.134,164.032,0.314,4,10,1,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,2021
What do you think?,D-2,Agust D,2020-05-22,182171,61,0.149,0.739,0.725,0.0,0.0793,-5.741,0.084,118.994,0.136,4,1,1,spotify:track:5dnT77AAQJcNYrqAod0jHQ,2020
Baarishein,Baarishein,Anuv Jain,2018-01-12,207312,75,0.927,0.476,0.124,0.0,0.0972,-9.463,0.0443,94.299,0.19,4,2,1,spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W,2018
Yun (with Erykah Badu),Indigo,RM,2022-12-02,233688,67,0.429,0.476,0.7,0.0,0.157,-5.569,0.276,85.114,0.625,4,0,0,spotify:track:3F3PuqGinS2T1ePmjUTw9t,2022
Butterfly,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,238861,71,0.0149,0.461,0.776,0.0,0.12,-4.498,0.0565,149.985,0.291,4,6,1,spotify:track:3bjg5cbmuwDoS7e2dAWyRG,2015
Agust D,Agust D,Agust D,2016-08-16,234082,66,0.0245,0.499,0.984,0.0,0.0455,-2.148,0.309,79.987,0.592,4,10,0,spotify:track:6AknCCsxOsrJ2mkSdCtET1,2016
Unloving You,Unloving You,Anson Seabra,2022-03-22,153863,64,0.633,0.765,0.393,0.0,0.142,-9.616,0.0311,121.909,0.224,4,6,1,spotify:track:2w9nvs1ByWUGkED4M0ug34,2022
No.2 (with parkjiyoon),Indigo,RM,2022-12-02,193963,67,0.599,0.727,0.619,0.0,0.0801,-8.399,0.0808,94.001,0.549,4,4,1,spotify:track:2sXaFMTkBHYrEgfGJ2y27a,2022
Lights,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,2020-07-14,292853,61,0.156,0.608,0.644,0.0,0.124,-5.588,0.0314,99.005,0.431,4,5,1,spotify:track:3TDUktzfYXMWjkWqwoT5F1,2020
